Arc Center Distance,Diameter,Width,Pitch,Blade Count,Thickness,Rotational Speed,Efficiency
0.75,11,0.25,30,3,0.05,1000,0.04
0.75,11,0.25,30,3,0.05,1500,0.03
0.75,11,0.25,30,3,0.05,2000,0.01
0.75,11,0.25,30,3,0.05,2500,0.00
0.75,11,0.25,45,3,0.05,500,0.09
0.75,11,0.25,45,3,0.05,1000,0.09
0.75,11,0.25,45,3,0.05,1500,0.04
0.75,11,0.25,45,3,0.05,2000,0.02
0.75,11,0.25,45,3,0.05,2500,0.00
0.75,11,0.25,60,3,0.05,500,0.18
0.75,11,0.25,60,3,0.05,1000,0.17
0.75,11,0.25,60,3,0.05,1500,0.01
0.75,11,0.25,60,3,0.05,2000,0.01
0.75,11,0.25,60,3,0.05,2500,0.00
0.75,11,0.75,30,3,0.05,500,0.20
0.75,11,0.75,30,3,0.05,1000,0.16
0.75,11,0.75,30,3,0.05,1500,0.14
0.75,11,0.75,30,3,0.05,2000,0.03
0.75,11,0.75,30,3,0.05,2500,0.00
0.75,11,0.75,45,3,0.05,500,0.21
0.75,11,0.75,45,3,0.05,1000,0.35
0.75,11,0.75,45,3,0.05,1500,0.08
0.75,11,0.75,45,3,0.05,2000,0.06
0.75,11,0.75,45,3,0.05,2500,0.00
0.75,11,0.75,60,3,0.05,500,0.15
0.75,11,0.75,60,3,0.05,1000,0.38
0.75,11,0.75,60,3,0.05,1500,0.17
0.75,11,0.75,60,3,0.05,2000,0.46
0.75,11,0.75,60,3,0.05,2500,0.01
0.75,11,1.25,30,3,0.05,500,0.17
0.75,11,1.25,30,3,0.05,1000,0.15
0.75,11,1.25,30,3,0.05,1500,0.11
0.75,11,1.25,30,3,0.05,2000,0.26
0.75,11,1.25,30,3,0.05,2500,0.01
0.75,11,1.25,45,3,0.05,500,0.14
0.75,11,1.25,45,3,0.05,1000,0.41
0.75,11,1.25,45,3,0.05,1500,0.18
0.75,11,1.25,45,3,0.05,2000,0.16
0.75,11,1.25,45,3,0.05,2500,0.01
0.75,11,1.25,60,3,0.05,500,0.30
0.75,11,1.25,60,3,0.05,1000,0.33
0.75,11,1.25,60,3,0.05,1500,0.30
0.75,11,1.25,60,3,0.05,2000,0.31
0.75,11,1.25,60,3,0.05,2500,0.00
0.75,11,1.5,30,3,0.05,500,0.10
0.75,11,1.5,30,3,0.05,1000,0.21
0.75,11,1.5,30,3,0.05,1500,0.08
0.75,11,1.5,30,3,0.05,2000,0.26
0.75,11,1.5,30,3,0.05,2500,0.00
0.75,11,1.5,45,3,0.05,500,0.36
0.75,11,1.5,45,3,0.05,1000,0.40
0.75,11,1.5,45,3,0.05,1500,0.38
0.75,11,1.5,45,3,0.05,2000,0.44
0.75,11,1.5,45,3,0.05,2500,0.08
0.75,11,1.5,60,3,0.05,500,0.24
0.75,11,1.5,60,3,0.05,1000,0.25
0.75,11,1.5,60,3,0.05,1500,0.26
0.75,11,1.5,60,3,0.05,2000,0.26
0.75,11,1.5,60,3,0.05,2500,0.02
1.25,3,0.25,30,3,0.05,500,0.00
1.25,3,0.25,30,3,0.05,1000,0.00
1.25,3,0.25,30,3,0.05,1500,0.00
1.25,3,0.25,30,3,0.05,2000,0.00
1.25,3,0.25,30,3,0.05,2500,0.00
1.25,3,0.25,45,3,0.05,500,0.00
1.25,3,0.25,45,3,0.05,1000,0.00
1.25,3,0.25,45,3,0.05,1500,0.00
1.25,3,0.25,45,3,0.05,2000,0.00
1.25,3,0.25,45,3,0.05,2500,0.00
1.25,3,0.25,60,3,0.05,500,0.00
1.25,3,0.25,60,3,0.05,1000,0.00
1.25,3,0.25,60,3,0.05,1500,0.00
1.25,3,0.25,60,3,0.05,2000,0.00
1.25,3,0.25,60,3,0.05,2500,0.00
1.25,3,0.75,30,3,0.05,500,0.01
1.25,3,0.75,30,3,0.05,1000,0.01
1.25,3,0.75,30,3,0.05,1500,0.00
1.25,3,0.75,30,3,0.05,2000,0.01
1.25,3,0.75,30,3,0.05,2500,0.01
1.25,3,0.75,45,3,0.05,500,0.00
1.25,3,0.75,45,3,0.05,1000,0.00
1.25,3,0.75,45,3,0.05,1500,0.01
1.25,3,0.75,45,3,0.05,2000,0.00
1.25,3,0.75,45,3,0.05,2500,0.00
1.25,3,0.75,60,3,0.05,500,0.01
1.25,3,0.75,60,3,0.05,1000,0.01
1.25,3,0.75,60,3,0.05,1500,0.01
1.25,3,0.75,60,3,0.05,2000,0.01
1.25,3,0.75,60,3,0.05,2500,0.01
1.25,3,1.25,30,3,0.05,500,0.00
1.25,3,1.25,30,3,0.05,1000,0.00
1.25,3,1.25,30,3,0.05,1500,0.00
1.25,3,1.25,30,3,0.05,2000,0.00
1.25,3,1.25,30,3,0.05,2500,0.00
1.25,3,1.25,45,3,0.05,500,0.00
1.25,3,1.25,45,3,0.05,1000,0.00
1.25,3,1.25,45,3,0.05,1500,0.00
1.25,3,1.25,45,3,0.05,2000,0.00
1.25,3,1.25,45,3,0.05,2500,0.00
1.25,3,1.25,60,3,0.05,500,0.01
1.25,3,1.25,60,3,0.05,1000,0.01
1.25,3,1.25,60,3,0.05,1500,0.00
1.25,3,1.25,60,3,0.05,2000,0.00
1.25,3,1.25,60,3,0.05,2500,0.00
1.25,3,1.5,30,3,0.05,500,0.00
1.25,3,1.5,30,3,0.05,1000,0.00
1.25,3,1.5,30,3,0.05,1500,0.00
1.25,3,1.5,30,3,0.05,2000,0.00
1.25,3,1.5,30,3,0.05,2500,0.00
1.25,3,1.5,45,3,0.05,500,0.00
1.25,3,1.5,45,3,0.05,1000,0.00
1.25,3,1.5,45,3,0.05,1500,0.00
1.25,3,1.5,45,3,0.05,2000,0.00
1.25,3,1.5,45,3,0.05,2500,0.00
1.25,3,1.5,60,3,0.05,500,0.00
1.25,3,1.5,60,3,0.05,1000,0.03
1.25,3,1.5,60,3,0.05,1500,0.00
1.25,3,1.5,60,3,0.05,2000,0.01
1.25,3,1.5,60,3,0.05,2500,0.00
1.25,5,0.25,30,3,0.05,500,0.01
1.25,5,0.25,30,3,0.05,1000,0.01
1.25,5,0.25,30,3,0.05,1500,0.01
1.25,5,0.25,30,3,0.05,2000,0.01
1.25,5,0.25,30,3,0.05,2500,0.01
1.25,5,0.25,45,3,0.05,500,0.00
1.25,5,0.25,45,3,0.05,1000,0.01
1.25,5,0.25,45,3,0.05,1500,0.01
1.25,5,0.25,45,3,0.05,2000,0.01
1.25,5,0.25,45,3,0.05,2500,0.01
1.25,5,0.25,60,3,0.05,500,0.03
1.25,5,0.25,60,3,0.05,1000,0.04
1.25,5,0.25,60,3,0.05,1500,0.04
1.25,5,0.25,60,3,0.05,2000,0.04
1.25,5,0.25,60,3,0.05,2500,0.04
1.25,5,0.75,30,3,0.05,500,0.05
1.25,5,0.75,30,3,0.05,1000,0.01
1.25,5,0.75,30,3,0.05,1500,0.06
1.25,5,0.75,30,3,0.05,2000,0.06
1.25,5,0.75,30,3,0.05,2500,0.06
1.25,5,0.75,45,3,0.05,500,0.08
1.25,5,0.75,45,3,0.05,1000,0.09
1.25,5,0.75,45,3,0.05,1500,0.10
1.25,5,0.75,45,3,0.05,2000,0.10
1.25,5,0.75,45,3,0.05,2500,0.10
1.25,5,0.75,60,3,0.05,500,0.03
1.25,5,0.75,60,3,0.05,1000,0.03
1.25,5,0.75,60,3,0.05,1500,0.03
1.25,5,0.75,60,3,0.05,2000,0.03
1.25,5,0.75,60,3,0.05,2500,0.03
1.25,5,1.25,30,3,0.05,500,0.11
1.25,5,1.25,30,3,0.05,1000,0.13
1.25,5,1.25,30,3,0.05,1500,0.12
1.25,5,1.25,30,3,0.05,2000,0.12
1.25,5,1.25,30,3,0.05,2500,0.13
1.25,5,1.25,45,3,0.05,500,0.03
1.25,5,1.25,45,3,0.05,1000,0.04
1.25,5,1.25,45,3,0.05,1500,0.03
1.25,5,1.25,45,3,0.05,2000,0.04
1.25,5,1.25,45,3,0.05,2500,0.03
1.25,5,1.25,60,3,0.05,500,0.02
1.25,5,1.25,60,3,0.05,1000,0.02
1.25,5,1.25,60,3,0.05,1500,0.02
1.25,5,1.25,60,3,0.05,2000,0.02
1.25,5,1.25,60,3,0.05,2500,0.02
1.25,5,1.5,30,3,0.05,500,0.02
1.25,5,1.5,30,3,0.05,1000,0.02
1.25,5,1.5,30,3,0.05,1500,0.02
1.25,5,1.5,30,3,0.05,2000,0.03
1.25,5,1.5,30,3,0.05,2500,0.03
1.25,5,1.5,45,3,0.05,500,0.01
1.25,5,1.5,45,3,0.05,1000,0.01
1.25,5,1.5,45,3,0.05,1500,0.01
1.25,5,1.5,45,3,0.05,2000,0.03
1.25,5,1.5,45,3,0.05,2500,0.02
1.25,5,1.5,60,3,0.05,500,0.01
1.25,5,1.5,60,3,0.05,1000,0.00
1.25,5,1.5,60,3,0.05,1500,0.01
1.25,5,1.5,60,3,0.05,2000,0.00
1.25,5,1.5,60,3,0.05,2500,0.01
1.25,7,0.25,30,3,0.05,500,0.17
1.25,7,0.25,30,3,0.05,1000,0.15
1.25,7,0.25,30,3,0.05,1500,0.19
1.25,7,0.25,30,3,0.05,2000,0.18
1.25,7,0.25,30,3,0.05,2500,0.19
1.25,7,0.25,45,3,0.05,500,0.21
1.25,7,0.25,45,3,0.05,1000,0.21
1.25,7,0.25,45,3,0.05,1500,0.24
1.25,7,0.25,45,3,0.05,2000,0.22
1.25,7,0.25,45,3,0.05,2500,0.22
1.25,7,0.25,60,3,0.05,500,0.14
1.25,7,0.25,60,3,0.05,1000,0.16
1.25,7,0.25,60,3,0.05,1500,0.17
1.25,7,0.25,60,3,0.05,2000,0.17
1.25,7,0.25,60,3,0.05,2500,0.17
1.25,7,0.75,30,3,0.05,500,0.22
1.25,7,0.75,30,3,0.05,1000,0.22
1.25,7,0.75,30,3,0.05,1500,0.22
1.25,7,0.75,30,3,0.05,2000,0.24
1.25,7,0.75,30,3,0.05,2500,0.24
1.25,7,0.75,45,3,0.05,500,0.15
1.25,7,0.75,45,3,0.05,1000,0.16
1.25,7,0.75,45,3,0.05,1500,0.21
1.25,7,0.75,45,3,0.05,2000,0.23
1.25,7,0.75,45,3,0.05,2500,0.24
1.25,7,0.75,60,3,0.05,500,0.16
1.25,7,0.75,60,3,0.05,1000,0.16
1.25,7,0.75,60,3,0.05,1500,0.17
1.25,7,0.75,60,3,0.05,2000,0.19
1.25,7,0.75,60,3,0.05,2500,0.19
1.25,7,1.25,30,3,0.05,500,0.27
1.25,7,1.25,30,3,0.05,1000,0.27
1.25,7,1.25,30,3,0.05,1500,0.27
1.25,7,1.25,30,3,0.05,2000,0.28
1.25,7,1.25,30,3,0.05,2500,0.27
1.25,7,1.25,45,3,0.05,500,0.25
1.25,7,1.25,45,3,0.05,1000,0.27
1.25,7,1.25,45,3,0.05,1500,0.24
1.25,7,1.25,45,3,0.05,2000,0.28
1.25,7,1.25,45,3,0.05,2500,0.27
1.25,7,1.25,60,3,0.05,500,0.03
1.25,7,1.25,60,3,0.05,1000,0.03
1.25,7,1.25,60,3,0.05,1500,0.03
1.25,7,1.25,60,3,0.05,2000,0.03
1.25,7,1.25,60,3,0.05,2500,0.04
1.25,7,1.5,30,3,0.05,500,0.23
1.25,7,1.5,30,3,0.05,1000,0.22
1.25,7,1.5,30,3,0.05,1500,0.23
1.25,7,1.5,30,3,0.05,2000,0.35
1.25,7,1.5,30,3,0.05,2500,0.47
1.25,7,1.5,45,3,0.05,500,0.18
1.25,7,1.5,45,3,0.05,1000,0.20
1.25,7,1.5,45,3,0.05,1500,0.22
1.25,7,1.5,45,3,0.05,2000,0.21
1.25,7,1.5,45,3,0.05,2500,0.02
1.25,7,1.5,60,3,0.05,500,0.00
1.25,7,1.5,60,3,0.05,1000,0.00
1.25,7,1.5,60,3,0.05,1500,0.00
1.25,7,1.5,60,3,0.05,2000,0.00
1.25,7,1.5,60,3,0.05,2500,0.00
1.25,9,0.25,30,3,0.05,500,0.15
1.25,9,0.25,30,3,0.05,1000,0.16
1.25,9,0.25,30,3,0.05,1500,0.12
1.25,9,0.25,30,3,0.05,2000,0.08
1.25,9,0.25,30,3,0.05,2500,0.07
1.25,9,0.25,45,3,0.05,500,0.22
1.25,9,0.25,45,3,0.05,1000,0.22
1.25,9,0.25,45,3,0.05,1500,0.16
1.25,9,0.25,45,3,0.05,2000,0.19
1.25,9,0.25,45,3,0.05,2500,0.14
1.25,9,0.25,60,3,0.05,500,0.25
1.25,9,0.25,60,3,0.05,1000,0.26
1.25,9,0.25,60,3,0.05,1500,0.28
1.25,9,0.25,60,3,0.05,2000,0.28
1.25,9,0.25,60,3,0.05,2500,0.26
1.25,9,0.75,30,3,0.05,500,0.11
1.25,9,0.75,30,3,0.05,1000,0.19
1.25,9,0.75,30,3,0.05,1500,0.20
1.25,9,0.75,30,3,0.05,2000,0.20
1.25,9,0.75,30,3,0.05,2500,0.17
1.25,9,0.75,45,3,0.05,500,0.22
1.25,9,0.75,45,3,0.05,1000,0.34
1.25,9,0.75,45,3,0.05,1500,0.32
1.25,9,0.75,45,3,0.05,2000,0.39
1.25,9,0.75,45,3,0.05,2500,0.39
1.25,9,0.75,60,3,0.05,500,0.09
1.25,9,0.75,60,3,0.05,1000,0.08
1.25,9,0.75,60,3,0.05,1500,0.23
1.25,9,0.75,60,3,0.05,2000,0.05
1.25,9,0.75,60,3,0.05,2500,0.24
1.25,9,1.25,30,3,0.05,500,0.20
1.25,9,1.25,30,3,0.05,1000,0.26
1.25,9,1.25,30,3,0.05,1500,0.22
1.25,9,1.25,30,3,0.05,2000,0.29
1.25,9,1.25,30,3,0.05,2500,0.30
1.25,9,1.25,45,3,0.05,500,0.33
1.25,9,1.25,45,3,0.05,1000,0.27
1.25,9,1.25,45,3,0.05,1500,0.33
1.25,9,1.25,45,3,0.05,2000,0.31
1.25,9,1.25,45,3,0.05,2500,0.33
1.25,9,1.25,60,3,0.05,500,0.15
1.25,9,1.25,60,3,0.05,1000,0.16
1.25,9,1.25,60,3,0.05,1500,0.15
1.25,9,1.25,60,3,0.05,2000,0.14
1.25,9,1.25,60,3,0.05,2500,0.12
1.25,9,1.5,30,3,0.05,500,0.29
1.25,9,1.5,30,3,0.05,1000,0.30
1.25,9,1.5,30,3,0.05,1500,0.25
1.25,9,1.5,30,3,0.05,2000,0.31
1.25,9,1.5,30,3,0.05,2500,0.25
1.25,9,1.5,45,3,0.05,500,0.17
1.25,9,1.5,45,3,0.05,1000,0.31
1.25,9,1.5,45,3,0.05,1500,0.03
1.25,9,1.5,45,3,0.05,2000,0.02
1.25,9,1.5,45,3,0.05,2500,0.21
1.25,9,1.5,60,3,0.05,500,0.09
1.25,9,1.5,60,3,0.05,1000,0.08
1.25,9,1.5,60,3,0.05,1500,0.08
1.25,9,1.5,60,3,0.05,2000,0.01
1.25,9,1.5,60,3,0.05,2500,0.03
1.25,11,0.25,30,3,0.05,500,0.01
1.25,11,0.25,30,3,0.05,1000,0.15
1.25,11,0.25,30,3,0.05,1500,0.07
1.25,11,0.25,30,3,0.05,2000,0.05
1.25,11,0.25,30,3,0.05,2500,0.00
1.25,11,0.25,45,3,0.05,500,0.03
1.25,11,0.25,45,3,0.05,1000,0.22
1.25,11,0.25,45,3,0.05,1500,0.19
1.25,11,0.25,45,3,0.05,2000,0.02
1.25,11,0.25,45,3,0.05,2500,0.00
1.25,11,0.25,60,3,0.05,500,0.13
1.25,11,0.25,60,3,0.05,1000,0.14
1.25,11,0.25,60,3,0.05,1500,0.29
1.25,11,0.25,60,3,0.05,2000,0.23
1.25,11,0.25,60,3,0.05,2500,0.03
1.25,11,0.75,30,3,0.05,500,0.16
1.25,11,0.75,30,3,0.05,1000,0.17
1.25,11,0.75,30,3,0.05,1500,0.12
1.25,11,0.75,30,3,0.05,2000,0.16
1.25,11,0.75,30,3,0.05,2500,0.00
1.25,11,0.75,45,3,0.05,500,0.19
1.25,11,0.75,45,3,0.05,1000,0.32
1.25,11,0.75,45,3,0.05,1500,0.10
1.25,11,0.75,45,3,0.05,2000,0.34
1.25,11,0.75,45,3,0.05,2500,0.01
1.25,11,0.75,60,3,0.05,500,0.13
1.25,11,0.75,60,3,0.05,1000,0.29
1.25,11,0.75,60,3,0.05,1500,0.25
1.25,11,0.75,60,3,0.05,2000,0.08
1.25,11,0.75,60,3,0.05,2500,0.00
1.25,11,1.25,30,3,0.05,500,0.23
1.25,11,1.25,30,3,0.05,1000,0.19
1.25,11,1.25,30,3,0.05,1500,0.19
1.25,11,1.25,30,3,0.05,2000,0.18
1.25,11,1.25,30,3,0.05,2500,0.01
1.25,11,1.25,45,3,0.05,500,0.21
1.25,11,1.25,45,3,0.05,1000,0.30
1.25,11,1.25,45,3,0.05,1500,0.34
1.25,11,1.25,45,3,0.05,2000,0.27
1.25,11,1.25,45,3,0.05,2500,0.01
1.25,11,1.25,60,3,0.05,500,0.23
1.25,11,1.25,60,3,0.05,1000,0.24
1.25,11,1.25,60,3,0.05,1500,0.16
1.25,11,1.25,60,3,0.05,2000,0.26
1.25,11,1.25,60,3,0.05,2500,0.03
1.25,11,1.5,30,3,0.05,500,0.26
1.25,11,1.5,30,3,0.05,1000,0.28
1.25,11,1.5,30,3,0.05,1500,0.29
1.25,11,1.5,30,3,0.05,2000,0.31
1.25,11,1.5,30,3,0.05,2500,0.01
1.75,5,0.25,30,3,0.05,500,0.00
1.75,5,0.25,30,3,0.05,1000,0.01
1.75,5,0.25,30,3,0.05,1500,0.00
1.75,5,0.25,30,3,0.05,2000,0.00
1.75,5,0.25,30,3,0.05,2500,0.01
1.75,5,0.25,45,3,0.05,500,0.00
1.75,5,0.25,45,3,0.05,1000,0.00
1.75,5,0.25,45,3,0.05,1500,0.00
1.75,5,0.25,45,3,0.05,2000,0.00
1.75,5,0.25,45,3,0.05,2500,0.00
1.75,5,0.25,60,3,0.05,500,0.01
1.75,5,0.25,60,3,0.05,1000,0.01
1.75,5,0.25,60,3,0.05,1500,0.01
1.75,5,0.25,60,3,0.05,2000,0.01
1.75,5,0.25,60,3,0.05,2500,0.01
1.75,5,0.75,30,3,0.05,500,0.00
1.75,5,0.75,30,3,0.05,1000,0.02
1.75,5,0.75,30,3,0.05,1500,0.00
1.75,5,0.75,30,3,0.05,2000,0.00
1.75,5,0.75,30,3,0.05,2500,0.00
1.75,5,0.75,45,3,0.05,500,0.01
1.75,5,0.75,45,3,0.05,1000,0.02
1.75,5,0.75,45,3,0.05,1500,0.01
1.75,5,0.75,45,3,0.05,2000,0.01
1.75,5,0.75,45,3,0.05,2500,0.02
1.75,5,0.75,60,3,0.05,500,0.00
1.75,5,0.75,60,3,0.05,1000,0.00
1.75,5,0.75,60,3,0.05,1500,0.00
1.75,5,0.75,60,3,0.05,2000,0.00
1.75,5,0.75,60,3,0.05,2500,0.00
1.75,5,1.25,30,3,0.05,500,0.03
1.75,5,1.25,30,3,0.05,1000,0.03
1.75,5,1.25,30,3,0.05,1500,0.03
1.75,5,1.25,30,3,0.05,2000,0.04
1.75,5,1.25,30,3,0.05,2500,0.04
1.75,5,1.25,45,3,0.05,500,0.00
1.75,5,1.25,45,3,0.05,1000,0.00
1.75,5,1.25,45,3,0.05,1500,0.00
1.75,5,1.25,45,3,0.05,2000,0.00
1.75,5,1.25,45,3,0.05,2500,0.00
1.75,5,1.25,60,3,0.05,500,0.01
1.75,5,1.25,60,3,0.05,1000,0.00
1.75,5,1.25,60,3,0.05,1500,0.00
1.75,5,1.25,60,3,0.05,2000,0.00
1.75,5,1.25,60,3,0.05,2500,0.01
1.75,5,1.5,30,3,0.05,500,0.02
1.75,5,1.5,30,3,0.05,1000,0.03
1.75,5,1.5,30,3,0.05,1500,0.03
1.75,5,1.5,30,3,0.05,2000,0.03
1.75,5,1.5,30,3,0.05,2500,0.03
1.75,5,1.5,45,3,0.05,500,0.00
1.75,5,1.5,45,3,0.05,1000,0.00
1.75,5,1.5,45,3,0.05,1500,0.00
1.75,5,1.5,45,3,0.05,2000,0.00
1.75,5,1.5,45,3,0.05,2500,0.00
1.75,5,1.5,60,3,0.05,500,0.01
1.75,5,1.5,60,3,0.05,1000,0.01
1.75,5,1.5,60,3,0.05,1500,0.00
1.75,5,1.5,60,3,0.05,2000,0.00
1.75,5,1.5,60,3,0.05,2500,0.00
1.75,7,0.25,30,3,0.05,500,0.04
1.75,7,0.25,30,3,0.05,1000,0.05
1.75,7,0.25,30,3,0.05,1500,0.05
1.75,7,0.25,30,3,0.05,2000,0.06
1.75,7,0.25,30,3,0.05,2500,0.07
1.75,7,0.25,45,3,0.05,500,0.00
1.75,7,0.25,45,3,0.05,1000,0.01
1.75,7,0.25,45,3,0.05,1500,0.00
1.75,7,0.25,45,3,0.05,2000,0.00
1.75,7,0.25,45,3,0.05,2500,0.00
1.75,7,0.25,60,3,0.05,500,0.00
1.75,7,0.25,60,3,0.05,1000,0.01
1.75,7,0.25,60,3,0.05,1500,0.01
1.75,7,0.25,60,3,0.05,2000,0.00
1.75,7,0.25,60,3,0.05,2500,0.01
1.75,7,0.75,30,3,0.05,500,0.09
1.75,7,0.75,30,3,0.05,1000,0.09
1.75,7,0.75,30,3,0.05,1500,0.12
1.75,7,0.75,30,3,0.05,2000,0.12
1.75,7,0.75,30,3,0.05,2500,0.12
1.75,7,0.75,45,3,0.05,500,0.08
1.75,7,0.75,45,3,0.05,1000,0.09
1.75,7,0.75,45,3,0.05,1500,0.10
1.75,7,0.75,45,3,0.05,2000,0.09
1.75,7,0.75,45,3,0.05,2500,0.11
1.75,7,0.75,60,3,0.05,500,0.05
1.75,7,0.75,60,3,0.05,1000,0.06
1.75,7,0.75,60,3,0.05,1500,0.07
1.75,7,0.75,60,3,0.05,2000,0.08
1.75,7,0.75,60,3,0.05,2500,0.06
1.75,7,1.25,30,3,0.05,500,0.08
1.75,7,1.25,30,3,0.05,1000,0.08
1.75,7,1.25,30,3,0.05,1500,0.09
1.75,7,1.25,30,3,0.05,2000,0.09
1.75,7,1.25,30,3,0.05,2500,0.10
1.75,7,1.25,45,3,0.05,500,0.06
1.75,7,1.25,45,3,0.05,1000,0.07
1.75,7,1.25,45,3,0.05,1500,0.08
1.75,7,1.25,45,3,0.05,2000,0.09
1.75,7,1.25,45,3,0.05,2500,0.08
1.75,7,1.25,60,3,0.05,500,0.00
1.75,7,1.25,60,3,0.05,1000,0.00
1.75,7,1.25,60,3,0.05,1500,0.00
1.75,7,1.25,60,3,0.05,2000,0.00
1.75,7,1.25,60,3,0.05,2500,0.00
1.75,7,1.5,30,3,0.05,500,0.15
1.75,7,1.5,30,3,0.05,1000,0.16
1.75,7,1.5,30,3,0.05,1500,0.17
1.75,7,1.5,30,3,0.05,2000,0.15
1.75,7,1.5,30,3,0.05,2500,0.15
1.75,7,1.5,45,3,0.05,500,0.05
1.75,7,1.5,45,3,0.05,1000,0.06
1.75,7,1.5,45,3,0.05,1500,0.06
1.75,7,1.5,45,3,0.05,2000,0.06
1.75,7,1.5,45,3,0.05,2500,0.05
1.75,7,1.5,60,3,0.05,500,0.01
1.75,7,1.5,60,3,0.05,1000,0.01
1.75,7,1.5,60,3,0.05,1500,0.00
1.75,7,1.5,60,3,0.05,2000,0.00
1.75,7,1.5,60,3,0.05,2500,0.00
1.75,9,0.25,30,3,0.05,500,0.15
1.75,9,0.25,30,3,0.05,1000,0.14
1.75,9,0.25,30,3,0.05,1500,0.17
1.75,9,0.25,30,3,0.05,2000,0.10
1.75,9,0.25,30,3,0.05,2500,0.06
1.75,9,0.25,45,3,0.05,500,0.13
1.75,9,0.25,45,3,0.05,1000,0.14
1.75,9,0.25,45,3,0.05,1500,0.15
1.75,9,0.25,45,3,0.05,2000,0.12
1.75,9,0.25,45,3,0.05,2500,0.10
1.75,9,0.25,60,3,0.05,500,0.09
1.75,9,0.25,60,3,0.05,1000,0.13
1.75,9,0.25,60,3,0.05,1500,0.15
1.75,9,0.25,60,3,0.05,2000,0.13
1.75,9,0.25,60,3,0.05,2500,0.09
1.75,9,0.75,30,3,0.05,500,0.22
1.75,9,0.75,30,3,0.05,1000,0.23
1.75,9,0.75,30,3,0.05,1500,0.20
1.75,9,0.75,30,3,0.05,2000,0.22
1.75,9,0.75,30,3,0.05,2500,0.13
1.75,9,0.75,45,3,0.05,500,0.18
1.75,9,0.75,45,3,0.05,1000,0.19
1.75,9,0.75,45,3,0.05,1500,0.19
1.75,9,0.75,45,3,0.05,2000,0.19
1.75,9,0.75,45,3,0.05,2500,0.18
1.75,9,0.75,60,3,0.05,500,0.11
1.75,9,0.75,60,3,0.05,1000,0.11
1.75,9,0.75,60,3,0.05,1500,0.12
1.75,9,0.75,60,3,0.05,2000,0.09
1.75,9,0.75,60,3,0.05,2500,0.13
1.75,9,1.25,30,3,0.05,500,0.22
1.75,9,1.25,30,3,0.05,1000,0.18
1.75,9,1.25,30,3,0.05,1500,0.29
1.75,9,1.25,30,3,0.05,2000,0.34
1.75,9,1.25,30,3,0.05,2500,0.29
1.75,9,1.25,45,3,0.05,500,0.16
1.75,9,1.25,45,3,0.05,1000,0.19
1.75,9,1.25,45,3,0.05,1500,0.20
1.75,9,1.25,45,3,0.05,2000,0.02
1.75,9,1.25,45,3,0.05,2500,0.20
1.75,9,1.25,60,3,0.05,500,0.04
1.75,9,1.25,60,3,0.05,1000,0.06
1.75,9,1.25,60,3,0.05,1500,0.07
1.75,9,1.25,60,3,0.05,2000,0.01
1.75,9,1.25,60,3,0.05,2500,0.00
1.75,9,1.5,30,3,0.05,500,0.20
1.75,9,1.5,30,3,0.05,1000,0.21
1.75,9,1.5,30,3,0.05,1500,0.22
1.75,9,1.5,30,3,0.05,2000,0.16
1.75,9,1.5,30,3,0.05,2500,0.16
1.75,9,1.5,45,3,0.05,500,0.22
1.75,9,1.5,45,3,0.05,1000,0.21
1.75,9,1.5,45,3,0.05,1500,0.24
1.75,9,1.5,45,3,0.05,2000,0.01
1.75,9,1.5,45,3,0.05,2500,0.30
1.75,9,1.5,60,3,0.05,500,0.02
1.75,9,1.5,60,3,0.05,1000,0.02
1.75,9,1.5,60,3,0.05,1500,0.01
1.75,9,1.5,60,3,0.05,2000,0.03
1.75,9,1.5,60,3,0.05,2500,0.00
1.75,11,0.25,30,3,0.05,500,0.20
1.75,11,0.25,30,3,0.05,1000,0.22
1.75,11,0.25,30,3,0.05,1500,0.16
1.75,11,0.25,30,3,0.05,2000,0.07
1.75,11,0.25,30,3,0.05,2500,0.01
1.75,11,0.25,45,3,0.05,500,0.18
1.75,11,0.25,45,3,0.05,1000,0.20
1.75,11,0.25,45,3,0.05,1500,0.19
1.75,11,0.25,45,3,0.05,2000,0.09
1.75,11,0.25,45,3,0.05,2500,0.02
1.75,11,0.25,60,3,0.05,500,0.15
1.75,11,0.25,60,3,0.05,1000,0.17
1.75,11,0.25,60,3,0.05,1500,0.18
1.75,11,0.25,60,3,0.05,2000,0.12
1.75,11,0.25,60,3,0.05,2500,0.00
1.75,11,0.75,30,3,0.05,500,0.06
1.75,11,0.75,30,3,0.05,1000,0.18
1.75,11,0.75,30,3,0.05,1500,0.19
1.75,11,0.75,30,3,0.05,2000,0.12
1.75,11,0.75,30,3,0.05,2500,0.00
1.75,11,0.75,45,3,0.05,500,0.33
1.75,11,0.75,45,3,0.05,1000,0.29
1.75,11,0.75,45,3,0.05,1500,0.23
1.75,11,0.75,45,3,0.05,2000,0.34
1.75,11,0.75,45,3,0.05,2500,0.01
1.75,11,0.75,60,3,0.05,500,0.12
1.75,11,0.75,60,3,0.05,1000,0.06
1.75,11,0.75,60,3,0.05,1500,0.21
1.75,11,0.75,60,3,0.05,2000,0.05
1.75,11,0.75,60,3,0.05,2500,0.01
1.75,11,1.25,30,3,0.05,500,0.25
1.75,11,1.25,30,3,0.05,1000,0.25
1.75,11,1.25,30,3,0.05,1500,0.36
